date,dewPoint,humidity,maxTemp,minTemp,precipType
2014-02-09,14.48,0.7,32.15,18.0,snow
2014-02-10,13.59,0.67,33.53,16.0,snow
2014-02-11,14.5,0.66,35.66,16.0,snow
2014-02-12,15.11,0.66,39.52,18.57,snow
2014-02-13,16.53,0.64,40.57,19.0,snow
2014-02-14,17.9,0.62,43.45,21.0,snow
2014-02-15,15.32,0.51,45.42,23.0,rain
2014-02-16,14.37,0.48,48.46,23.0,rain
2014-02-17,13.36,0.49,39.94,21.0,snow
2014-02-18,14.22,0.54,39.49,21.96,snow
2014-02-19,15.16,0.5,42.82,23.16,rain
2014-02-20,18.94,0.55,43.28,25.3,rain
2014-02-21,19.63,0.52,50.2,27.88,rain
2014-02-22,16.47,0.44,50.29,29.6,rain
2014-02-23,14.78,0.39,50.28,28.21,rain
2014-02-24,7.65,0.3,51.36,29.0,rain
2014-02-25,4.66,0.24,49.11,30.0,rain
2014-02-26,9.43,0.35,42.37,30.0,rain
2014-02-27,12.24,0.39,45.78,27.0,rain
2014-02-28,11.81,0.38,47.87,26.95,rain
2014-03-01,10.41,0.36,48.05,26.63,rain
2014-03-02,12.74,0.35,53.49,28.0,rain
2014-03-03,11.02,0.32,48.75,29.73,rain
2014-03-04,10.21,0.3,46.37,32.89,rain
2014-03-05,9.14,0.29,48.0,33.93,rain
2014-03-06,11.92,0.32,53.19,30.0,rain
2014-03-07,11.3,0.3,54.27,30.97,rain
2014-03-08,12.28,0.28,54.15,33.09,rain
2014-03-09,11.69,0.29,50.0,34.71,rain
2014-03-10,-9.8,0.11,53.57,39.0,rain
2014-03-11,8.26,0.27,47.3,34.0,rain
2014-03-12,15.18,0.36,48.23,34.09,rain
2014-03-13,16.6,0.38,51.21,31.41,rain
2014-03-14,15.95,0.33,54.29,33.41,rain
2014-03-15,16.48,0.3,57.75,36.58,rain
2014-03-16,17.34,0.28,61.57,40.8,rain
2014-03-17,18.38,0.29,60.83,40.43,rain
2014-03-18,19.75,0.28,64.92,44.36,rain
2014-03-19,15.62,0.21,65.0,49.03,rain
2014-03-20,23.77,0.32,63.28,44.36,rain
2014-03-21,20.16,0.27,63.59,45.25,rain
2014-03-22,24.14,0.3,65.08,47.99,rain
2014-03-23,20.28,0.25,67.07,43.3,rain
2014-03-24,18.78,0.23,68.0,46.51,rain
2014-03-25,25.04,0.28,68.61,49.88,rain
2014-03-26,20.35,0.23,70.3,50.67,rain
2014-03-27,27.85,0.34,65.41,50.84,rain
2014-03-28,33.59,0.54,58.75,45.0,rain
2014-03-29,25.66,0.36,64.0,43.0,rain
2014-03-30,29.41,0.38,68.0,46.0,rain
2014-03-31,23.07,0.28,70.3,44.79,rain
2014-04-01,19.98,0.23,71.21,44.53,rain
2014-04-02,19.13,0.22,70.61,45.48,rain
2014-04-03,18.67,0.2,72.27,51.04,rain
2014-04-04,16.91,0.19,72.6,50.0,rain
2014-04-05,17.68,0.18,71.08,51.64,rain
2014-04-06,19.06,0.2,70.63,54.54,rain
2014-04-07,14.85,0.17,73.27,57.0,rain
2014-04-08,6.74,0.12,69.69,54.0,rain
2014-04-09,18.69,0.23,69.53,46.0,rain
2014-04-10,17.23,0.21,72.74,44.18,rain
2014-04-11,16.8,0.19,73.04,48.36,rain
2014-04-12,18.67,0.21,72.58,47.07,rain
2014-04-13,12.77,0.15,72.0,54.0,rain
2014-04-14,5.82,0.13,70.0,51.46,rain
2014-04-15,4.56,0.11,70.47,46.0,rain
2014-04-16,8.72,0.12,75.0,47.71,rain
2014-04-17,13.83,0.17,66.0,49.84,rain
2014-04-18,19.38,0.21,68.0,54.0,rain
2014-04-19,17.53,0.21,64.0,52.12,rain
2014-04-20,23.42,0.27,67.38,46.84,rain
2014-04-21,24.1,0.25,72.62,49.45,rain
2014-04-22,20.37,0.2,81.0,50.01,rain
2014-04-23,14.41,0.13,80.53,58.55,rain
2014-04-24,5.09,0.11,65.57,57.0,rain
2014-04-25,5.56,0.12,61.13,55.0,rain
2014-04-26,14.3,0.17,68.0,52.5,rain
2014-04-27,17.12,0.18,70.9,51.8,rain
2014-04-28,21.39,0.19,79.0,54.1,rain
2014-04-29,19.45,0.17,80.98,58.31,rain
2014-04-30,11.98,0.13,76.53,53.76,rain
2014-05-01,15.17,0.16,69.63,59.0,rain
