"permit_id"	"name"	"address"	"category"	"permit_url"	"map_url"	"phone_num"	"YelpID"	"lat"	"lon"
523	"BET CAFETERIA"	"1235 W ST NE WASHINGTON, DC 20017"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=523"	"http://maps.google.com/maps?q=1235 W ST NE WASHINGTON, DC 20017"	7034138292	"seattles-best-coffee-arlington-2"	38.9187501	-76.9888347
147424	"BEUCHERT'S SALOON"	"623 PENNSYLVANIA AVE SE WASHINGTON, DC 20003"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=147424"	"http://maps.google.com/maps?q=623 PENNSYLVANIA AVE SE WASHINGTON, DC 20003"		"beucherts-saloon-washington"	38.8848622	-76.9976468
6953	"BGR THE BURGER JOINT"	"1514 CONNECTICUT AVE NW WASHINGTON, DC 20019"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=6953"	"http://maps.google.com/maps?q=1514 CONNECTICUT AVE NW WASHINGTON, DC 20019"	2022991071	"bgr-the-burger-joint-washington"	38.9105126	-77.0442345
1339	"BIBIANA RESTAURANT"	"1100 NEW YORK AVE NW Washington, DC 20005"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=1339"	"http://maps.google.com/maps?q=1100 NEW YORK AVE NW Washington, DC 20005"	2022169550	"bibiana-washington"	38.9002974	-77.027617
148021	"BIDWELL"	"1309 5TH ST NE WASHINGTON, DC 20002"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=148021"	"http://maps.google.com/maps?q=1309 5TH ST NE WASHINGTON, DC 20002"	2025470172	"bidwell-washington"	38.9086077	-76.9973795
6938	"BIER BARON HOTEL & TAVERN "	"1523 22ND ST NW Washington, DC 20037"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=6938"	"http://maps.google.com/maps?q=1523 22ND ST NW Washington, DC 20037"	2022931885	"brickskeller-washington"	38.9102797	-77.0484822
1885	"BIER BARON HOTEL & TAVERN "	"1523 22ND ST NW Washington, DC 20037"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=1885"	"http://maps.google.com/maps?q=1523 22ND ST NW Washington, DC 20037"	2027851277	"hotel-tabard-inn-washington"	38.9102797	-77.0484822
4620	"BIERGARTEN HAUS "	"1355 H ST NE WASHINGTON, DC 20002"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=4620"	"http://maps.google.com/maps?q=1355 H ST NE WASHINGTON, DC 20002"	2023884053	"biergarten-haus-washington"	38.8998749	-76.9864865
147973	"BIG BEAR CAFE"	"1700 1ST ST NW WASHINGTON, DC 20001"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=147973"	"http://maps.google.com/maps?q=1700 1ST ST NW WASHINGTON, DC 20001"	2026439222	"big-bear-cafe-washington"	38.9127558	-77.0124054
3415	"BILLY GOAT TAVERN & GRILL"	"500 NEW JERSEY AVE NW WASHINGTON, DC 20001"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=3415"	"http://maps.google.com/maps?q=500 NEW JERSEY AVE NW WASHINGTON, DC 20001"	2027832123	"billy-goat-tavern-washington"	38.8965029	-77.0119074
