inspec_id,permit_id,insp_date_x,insp_timein,insp_type,crit_viol,non_crit_viol,crit_viol_cos,crit_viol_rpt,non_crit_viol_cos,non_crit_viol_rpt,crit_viol_tbr,non_crit_viol_tbr,lat,lon
812972,2579,2015-08-27,13:05:00,Routine,10.0,7.0,3.0,0.0,1.0,0.0,7.0,6.0,38.9237497,-77.0509028
813001,172553,2015-08-26,11:30:00,Routine,3.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,38.9417246,-77.0245565
813214,137286,2015-09-08,13:50:00,Routine,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.8746215,-77.0267636
813304,172637,2015-09-11,12:30:00,Routine,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,38.8964601,-77.0288852
822471,172637,2016-02-22,10:55:00,Routine,7.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,38.8964601,-77.0288852
813352,147640,2015-09-16,10:44:00,Routine,4.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,38.9212189,-76.9978384
813551,187547,2015-09-24,11:20:00,Routine,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,38.9003427,-77.0259896
813724,187547,2015-10-01,10:30:00,Routine,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.9003427,-77.0259896
813983,187547,2015-10-09,11:12:00,Routine,4.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,38.9003427,-77.0259896
819799,187547,2015-10-23,10:30:00,Routine,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.9003427,-77.0259896
820117,187547,2015-11-06,10:30:00,Routine,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,38.9003427,-77.0259896
820882,187547,2015-12-09,11:00:00,Routine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.9003427,-77.0259896
813554,172476,2015-09-24,14:35:00,Routine,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,38.9055735,-77.0526136
824320,172476,2016-05-04,13:48:00,Routine,4.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,38.9055735,-77.0526136
813811,172558,2015-10-05,10:30:00,Routine,7.0,2.0,0.0,0.0,0.0,0.0,7.0,2.0,38.907722,-77.063863
813818,187281,2015-10-05,12:15:00,Routine,7.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,38.9217836,-77.0431137
823894,187281,2016-04-18,11:10:00,Routine,5.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,38.9217836,-77.0431137
813933,1657,2015-10-07,11:25:00,Routine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.9169909,-77.0305405
813943,187320,2015-10-07,12:30:00,Routine,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,38.8954166,-77.0418174
814376,6572,2015-10-22,13:10:00,Routine,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,38.9348703,-77.0243991
819893,173103,2015-10-28,09:58:00,Routine,7.0,2.0,2.0,0.0,0.0,0.0,5.0,2.0,38.8953419,-77.0220795
819968,187369,2015-10-30,13:45:00,Routine,3.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,38.9238366,-77.0523694
820013,187363,2015-11-03,13:30:00,Routine,7.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,38.886555,-76.995818
