inspec_id,permit_id,insp_date_x,insp_timein,insp_type,crit_viol,non_crit_viol,crit_viol_cos,crit_viol_rpt,non_crit_viol_cos,non_crit_viol_rpt,crit_viol_tbr,non_crit_viol_tbr
819929,4209,2015-10-29,13:50:00,Routine,4.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0
819930,173215,2015-10-29,13:45:00,Routine,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
819945,172331,2015-10-30,13:40:00,Routine,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
819963,2622,2015-10-30,12:45:00,Routine,3.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0
819965,2623,2015-10-30,11:52:00,Routine,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
819968,187369,2015-10-30,13:45:00,Routine,3.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0
819974,3405,2015-10-30,12:30:00,Routine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820001,1049,2015-11-02,14:30:00,Routine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820003,2428,2015-11-02,12:07:00,Routine,3.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0
820012,5657,2015-11-03,11:29:00,Routine,6.0,3.0,5.0,0.0,2.0,0.0,1.0,1.0
820013,187363,2015-11-03,13:30:00,Routine,7.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0
820028,6805,2015-11-03,11:40:00,Routine,4.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0
820029,1322,2015-10-29,13:55:00,Routine,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
820032,5498,2015-11-03,14:00:00,Routine,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
820042,5300,2015-11-04,11:00:00,Routine,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
820043,6110,2015-11-04,12:10:00,Routine,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
820066,3224,2015-11-04,13:55:00,Routine,4.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0
820067,147955,2015-11-04,10:55:00,Routine,8.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0
820072,6779,2015-11-05,10:35:00,Routine,6.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0
820081,147950,2015-11-05,10:40:00,Routine,4.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0
820110,137270,2015-11-06,10:30:00,Routine,5.0,3.0,0.0,0.0,0.0,0.0,5.0,3.0
820112,147713,2015-11-06,10:10:00,Routine,9.0,3.0,5.0,0.0,1.0,0.0,4.0,2.0
820117,187547,2015-11-06,10:30:00,Routine,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0
820124,5877,2015-11-06,12:00:00,Routine,2.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0
820141,6864,2015-11-06,13:55:00,Routine,3.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0
820142,3996,2015-11-06,12:25:00,Routine,4.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0
