,crit_viol,yelp_rating,yelp_reviews,risk,insp_badge,crime_count,311_count,construction_count,avg_high_temp,time_diff,target
1175,4,3.5,459,3,54,12.0,0.0,17.0,35.62,-543,0
1412,4,3.5,289,5,422,37.0,0.0,15.0,47.38,-208,0
898,1,4.5,164,3,611,16.0,0.0,9.0,72.42,-619,0
347,7,4.0,233,2,422,23.0,0.0,12.0,30.52,-202,1
346,9,4.0,233,2,82,17.0,1.0,11.0,49.06,-286,1
313,4,3.0,79,3,603,15.0,0.0,5.0,47.94,-210,0
311,1,3.0,79,3,64,8.0,0.0,7.0,84.81,-553,0
312,2,3.0,79,3,107,10.0,0.0,3.0,45.4,-124,0
130,4,3.5,11,3,121,30.0,0.0,10.0,79.63,-432,0
129,5,3.5,11,3,29,24.0,0.0,15.0,51.42,-160,1
128,3,3.5,11,3,54,6.0,0.0,12.0,69.14,-232,0
686,12,3.5,514,3,89,16.0,0.0,10.0,87.32,-211,1
685,1,3.5,514,3,124,10.0,0.0,9.0,28.61,-131,0
684,1,3.5,514,3,26,14.0,0.0,6.0,86.91,-174,0
730,13,3.5,514,3,87,9.0,0.0,8.0,61.82,-148,1
397,3,3.5,241,3,422,11.0,0.0,4.0,71.67,-259,0
396,7,3.5,241,3,29,12.0,0.0,9.0,23.97,-306,1
1168,5,3.0,108,2,82,25.0,0.0,9.0,82.85,-434,1
1167,5,3.0,108,2,121,19.0,0.0,8.0,91.95,-301,1
1219,7,3.5,179,3,607,17.0,0.0,8.0,67.85,-392,1
1424,3,4.0,82,3,624,2.0,0.0,5.0,62.33,-248,0
279,3,3.5,416,3,422,24.0,0.0,12.0,72.42,-588,0
278,4,3.5,416,3,26,20.0,0.0,7.0,39.07,-312,0
1234,3,4.0,805,3,107,19.0,0.0,8.0,74.62,-269,0
1233,3,4.0,805,3,612,25.0,0.0,13.0,86.29,-433,0
1324,0,4.0,58,3,61,10.0,0.0,3.0,87.97,-359,0
1351,4,3.5,9,2,89,4.0,0.0,6.0,85.75,-175,0
1350,1,3.5,9,2,124,6.0,0.0,3.0,67.85,-148,0
1349,0,3.5,9,2,26,6.0,0.0,2.0,36.15,-106,0
1400,3,3.5,107,3,64,8.0,0.0,6.0,85.49,-312,0
211,3,3.5,107,3,64,11.0,0.0,5.0,91.58,-367,0
380,5,3.5,333,3,107,10.0,0.0,8.0,52.05,-784,1
379,3,3.5,333,3,107,7.0,0.0,8.0,68.18,-144,0
1146,4,4.0,260,3,82,25.0,0.0,7.0,98.6,-349,0
1145,4,4.0,260,3,607,12.0,0.0,11.0,31.85,-162,0
1144,8,4.0,260,3,82,29.0,0.0,7.0,80.41,-132,1
1143,9,4.0,260,3,82,17.0,0.0,5.0,71.81,-169,1
690,3,3.5,821,3,124,13.0,1.0,7.0,65.7,-281,0
689,5,3.5,821,3,107,11.0,0.0,5.0,51.06,-151,1
415,5,3.0,40,2,64,12.0,0.0,1.0,28.61,-516,1
414,3,3.0,40,2,603,8.0,0.0,1.0,71.96,-597,0
151,7,3.5,3144,3,607,32.0,0.0,6.0,91.68,-279,1
150,4,3.5,3144,3,59,14.0,0.0,13.0,28.27,-130,0
149,4,3.5,3144,3,59,41.0,0.0,7.0,86.46,-170,0
148,0,3.5,3144,3,54,25.0,0.0,11.0,86.3,-336,0
1326,3,4.0,35,3,124,13.0,0.0,4.0,28.09,-563,0
28,1,3.0,40,3,26,2.0,0.0,0.0,39.76,-553,0
27,3,3.0,40,3,422,7.0,0.0,3.0,81.02,-118,0
26,4,3.0,40,3,624,11.0,0.0,0.0,30.85,-231,0
1023,5,3.0,469,2,88,12.0,0.0,12.0,84.36,-424,1
1022,3,3.0,469,2,82,22.0,0.0,3.0,79.32,-220,0
111,5,3.5,365,3,603,28.0,0.0,13.0,77.77,-140,1
110,8,3.5,365,3,624,23.0,0.0,10.0,24.12,-281,1
109,3,3.5,365,3,26,26.0,0.0,9.0,80.52,-133,0
108,11,3.5,365,3,89,25.0,0.0,9.0,63.76,-136,1
107,4,3.5,365,3,59,14.0,0.0,15.0,93.05,-235,0
1268,8,3.5,149,3,603,9.0,0.0,4.0,86.56,-295,1
1258,4,3.5,456,2,422,19.0,0.0,7.0,87.32,-357,0
1257,9,3.5,456,2,624,18.0,0.0,10.0,81.24,-390,1
1256,2,3.5,456,2,611,12.0,0.0,13.0,41.35,-189,0
737,1,3.0,43,3,611,7.0,0.0,3.0,78.51,-526,0
736,2,3.0,43,3,611,5.0,0.0,4.0,86.3,-365,0
505,2,2.5,79,3,107,18.0,0.0,3.0,85.77,-150,0
504,4,2.5,79,3,87,8.0,0.0,5.0,24.12,-246,0
503,10,2.5,79,3,89,11.0,0.0,3.0,86.76,-220,1
502,2,2.5,79,3,59,5.0,0.0,5.0,46.03,-169,0
501,9,2.5,79,3,650,10.0,0.0,1.0,91.09,-150,1
1082,5,4.0,872,3,422,18.0,0.0,8.0,72.57,-618,1
814,4,2.0,50,3,107,16.0,0.0,7.0,73.65,-1111,0
816,7,2.5,296,3,607,21.0,0.0,6.0,88.61,-389,1
815,9,2.5,296,3,121,23.0,0.0,8.0,87.22,-323,1
954,4,4.0,233,2,64,17.0,0.0,13.0,94.98,-1103,0
1283,1,4.0,429,3,611,7.0,0.0,15.0,79.23,-127,0
1282,9,4.0,429,3,26,7.0,0.0,4.0,48.25,-202,1
527,3,3.5,279,4,64,22.0,0.0,4.0,48.21,-217,0
526,5,3.5,279,4,107,13.0,0.0,3.0,24.95,-689,1
525,4,3.5,279,4,124,13.0,0.0,10.0,93.05,-165,0
413,2,3.0,257,4,422,8.0,0.0,11.0,65.88,-256,0
412,4,3.0,257,4,64,4.0,0.0,2.0,55.82,-220,0
411,9,3.0,257,4,82,6.0,0.0,0.0,70.94,-342,1
41,3,3.5,124,3,26,4.0,0.0,4.0,59.5,-406,0
40,7,3.5,124,3,624,8.0,0.0,4.0,79.32,-165,1
39,2,3.5,124,3,422,4.0,0.0,10.0,42.2,-222,0
1364,7,4.0,26,2,607,0.0,0.0,1.0,33.95,-439,1
250,7,4.0,1332,2,29,13.0,0.0,6.0,49.06,-488,1
249,3,4.0,1332,2,107,15.0,0.0,10.0,84.5,-587,0
264,5,3.5,370,2,16,22.0,0.0,8.0,38.04,-929,1
305,6,3.5,90,3,29,20.0,0.0,11.0,37.97,-458,1
304,5,3.5,90,3,624,17.0,0.0,10.0,75.01,-446,1
975,1,3.5,45,2,29,4.0,0.0,3.0,73.76,-298,0
974,2,3.5,45,2,29,1.0,0.0,2.0,35.63,-251,0
973,3,3.5,45,2,64,3.0,0.0,2.0,43.31,-393,0
