,crit_viol,yelp_rating,yelp_reviews,risk,insp_badge,crime_count,311_count,construction_count,avg_high_temp,time_diff,target
168,2,3.0,164,3,124,29.0,0.0,12.0,78.32,-864,0
169,5,3.5,102,3,607,12.0,0.0,10.0,31.14,-864,1
170,5,3.5,213,3,64,14.0,1.0,15.0,62.6,-864,1
171,3,4.0,65,2,422,4.0,0.0,1.0,58.47,-864,0
172,6,3.5,949,3,603,14.0,0.0,14.0,72.53,-864,1
173,5,3.0,511,3,82,8.0,0.0,5.0,52.13,-864,1
174,2,3.0,203,3,29,1.0,0.0,8.0,55.11,-864,0
175,4,3.0,20,5,59,3.0,0.0,1.0,86.82,-864,0
176,2,3.5,1231,3,124,16.0,0.0,9.0,55.11,-864,0
177,5,4.0,848,3,54,13.0,2.0,5.0,80.41,-864,1
178,3,4.5,426,2,603,13.0,0.0,9.0,77.63,-864,0
179,5,3.5,30,3,607,18.0,0.0,9.0,78.32,-864,1
180,2,3.0,424,3,54,0.0,5.0,0.0,74.96,-864,0
181,4,3.5,136,4,64,4.0,0.0,2.0,27.74,-864,0
182,7,2.0,55,3,82,18.0,0.0,3.0,62.6,-864,1
183,3,3.5,92,4,88,18.0,2.0,0.0,70.78,-864,0
184,2,3.5,92,4,603,4.0,0.0,9.0,24.68,-111,0
185,8,3.0,166,3,607,6.0,0.0,10.0,29.8,-864,1
186,3,4.5,19,3,51,2.0,1.0,2.0,66.13,-864,0
187,7,3.5,118,5,54,6.0,1.0,13.0,39.2,-864,1
188,2,3.5,66,3,88,16.0,1.0,0.0,75.16,-864,0
189,5,3.5,73,3,603,15.0,0.0,3.0,75.62,-864,1
190,6,5.0,1,2,603,0.0,1.0,1.0,73.83,-864,1
191,4,4.5,3,2,624,7.0,0.0,4.0,39.91,-864,0
192,2,2.5,16,3,64,7.0,0.0,1.0,84.14,-864,0
193,6,3.5,279,3,607,6.0,0.0,12.0,36.6,-864,1
194,4,3.5,200,3,82,22.0,1.0,1.0,82.62,-864,0
195,7,4.0,31,3,54,5.0,0.0,0.0,70.78,-864,1
196,1,2.5,2,2,607,1.0,0.0,2.0,80.41,-864,0
197,6,3.5,36,3,29,7.0,0.0,1.0,79.37,-864,1
198,2,2.5,131,3,624,24.0,0.0,5.0,66.89,-864,0
199,6,4.0,543,4,19,12.0,0.0,3.0,60.48,-864,1
200,9,3.0,19,3,624,9.0,0.0,13.0,31.3,-864,1
201,6,3.5,365,3,107,7.0,0.0,6.0,38.29,-864,1
202,2,3.5,10,3,611,5.0,0.0,4.0,77.63,-864,0
203,3,4.0,68,3,64,8.0,0.0,10.0,54.07,-864,0
204,3,2.5,48,3,422,24.0,1.0,10.0,69.71,-864,0
205,1,4.0,83,2,54,15.0,0.0,9.0,63.26,-864,0
206,8,4.5,3,2,422,28.0,0.0,11.0,68.24,-864,1
207,7,4.5,3,2,29,28.0,0.0,11.0,49.6,-336,1
208,10,4.5,3,2,82,15.0,0.0,6.0,81.03,-184,1
209,12,3.5,28,3,87,15.0,0.0,13.0,76.74,-344,1
210,4,3.5,28,3,124,14.0,0.0,9.0,53.98,-204,0
211,11,3.5,28,2,89,4.0,0.0,9.0,70.0,-216,1
212,22,3.0,162,3,89,13.0,0.0,8.0,95.55,-864,1
213,4,3.0,162,3,124,8.0,0.0,11.0,48.06,-151,0
214,8,3.0,162,3,624,6.0,0.0,3.0,80.96,-149,1
215,3,3.0,162,3,612,3.0,0.0,3.0,95.66,-422,0
216,4,3.0,123,3,29,3.0,0.0,7.0,76.42,-864,0
217,0,3.0,123,3,54,2.0,0.0,1.0,81.94,-379,0
218,1,3.0,123,3,612,2.0,0.0,0.0,27.64,-245,0
219,2,3.0,123,3,64,1.0,0.0,2.0,86.96,-163,0
220,6,4.0,1029,4,603,31.0,0.0,6.0,37.31,-864,1
221,5,4.0,1029,4,422,35.0,0.0,11.0,86.29,-150,1
222,3,4.0,454,3,82,16.0,0.0,12.0,61.73,-864,0
223,1,4.0,454,3,124,12.0,0.0,12.0,70.75,-195,0
224,4,4.0,454,3,107,11.0,0.0,5.0,55.42,-174,0
225,1,4.0,454,3,422,6.0,0.0,10.0,26.38,-295,0
226,2,3.0,214,3,54,37.0,0.0,3.0,92.68,-864,0
227,2,4.0,72,2,611,20.0,0.0,9.0,53.56,-864,0
228,4,4.0,72,2,607,4.0,0.0,3.0,53.44,-257,0
229,1,4.0,72,2,88,13.0,0.0,13.0,56.14,-111,0
230,3,4.0,72,2,54,15.0,0.0,9.0,79.37,-155,0
231,2,4.0,72,2,54,26.0,0.0,6.0,76.92,-288,0
232,3,4.5,52,3,422,22.0,0.0,8.0,78.54,-272,0
233,10,4.0,184,2,607,7.0,0.0,5.0,85.49,-864,1
234,3,4.5,34,3,29,8.0,0.0,12.0,87.12,-864,0
235,4,3.0,258,3,82,10.0,0.0,3.0,71.67,-128,0
236,12,3.0,258,3,89,5.0,0.0,3.0,68.59,-203,1
237,5,3.0,258,3,26,5.0,0.0,3.0,79.42,-192,1
238,2,3.5,39,1,82,8.0,0.0,9.0,81.01,-864,0
239,3,3.0,149,2,59,3.0,0.0,2.0,51.42,-533,0
240,4,3.0,149,2,64,2.0,0.0,0.0,86.79,-463,0
241,2,4.0,274,3,107,19.0,0.0,5.0,69.05,-864,0
242,4,3.5,255,3,603,13.0,0.0,8.0,80.48,-864,0
243,1,3.5,255,3,611,13.0,0.0,6.0,34.75,-183,0
244,13,3.5,255,3,89,21.0,0.0,14.0,78.79,-213,1
245,4,3.0,192,3,624,5.0,0.0,3.0,76.88,-864,0
246,2,3.0,192,3,54,3.0,0.0,2.0,59.5,-208,0
247,5,3.0,192,3,54,0.0,0.0,4.0,78.6,-176,1
248,6,3.0,192,3,64,3.0,0.0,0.0,68.18,-335,1
249,8,3.0,207,2,607,21.0,0.0,9.0,95.55,-864,1
250,5,3.0,207,2,88,21.0,0.0,9.0,46.9,-245,1
251,2,3.0,207,2,107,19.0,0.0,11.0,93.05,-484,0
252,7,2.5,456,3,607,33.0,0.0,10.0,87.32,-235,1
253,3,2.5,456,3,54,15.0,0.0,11.0,28.27,-136,0
254,10,2.5,456,3,121,27.0,0.0,8.0,86.91,-169,1
255,3,2.5,82,2,54,38.0,0.0,6.0,67.33,-864,0
256,3,3.5,129,3,607,31.0,0.0,7.0,91.68,-241,0
257,5,3.5,129,3,82,17.0,0.0,6.0,39.76,-144,1
258,10,3.5,129,3,650,29.0,0.0,7.0,81.94,-135,1
259,7,4.0,1,2,29,24.0,0.0,10.0,84.36,-864,1
260,3,4.0,1,2,29,26.0,0.0,7.0,73.01,-226,0
261,4,2.5,165,3,29,3.0,0.0,2.0,74.65,-864,0
262,6,2.5,165,3,54,5.0,0.0,2.0,80.96,-358,1
263,4,2.5,165,3,612,2.0,0.0,1.0,41.44,-222,0
264,2,3.5,303,2,54,29.0,0.0,6.0,91.68,-864,0
265,3,3.5,303,2,54,10.0,0.0,16.0,62.95,-446,0
266,3,4.5,6,1,51,11.0,0.0,3.0,87.92,-864,0
267,9,2.5,20,3,26,7.0,0.0,9.0,53.98,-864,1
268,3,2.5,20,3,124,8.0,0.0,3.0,63.76,-229,0
269,3,2.5,20,3,612,8.0,0.0,2.0,75.01,-183,0
270,3,3.5,22,3,611,12.0,0.0,3.0,75.07,-473,0
271,1,3.5,22,3,611,5.0,0.0,5.0,66.01,-151,0
272,2,3.5,22,3,612,10.0,0.0,1.0,64.2,-181,0
273,3,3.5,22,3,612,8.0,0.0,1.0,92.71,-126,0
274,5,3.5,110,3,82,20.0,0.0,5.0,47.94,-864,1
275,10,3.5,110,3,87,10.0,0.0,6.0,84.36,-214,1
276,12,3.5,110,3,89,19.0,0.0,9.0,66.76,-401,1
277,6,3.5,110,3,624,12.0,0.0,6.0,59.42,-146,1
278,2,4.5,1612,4,607,21.0,0.0,9.0,79.23,-182,0
279,5,4.5,1612,4,607,13.0,0.0,9.0,66.93,-173,1
280,8,3.5,261,3,607,8.0,0.0,1.0,87.32,-246,1
281,5,3.5,261,3,59,9.0,0.0,2.0,80.96,-222,1
282,8,3.5,28,3,29,22.0,0.0,9.0,64.13,-864,1
283,5,3.5,28,3,29,26.0,0.0,7.0,73.01,-196,1
284,2,4.0,140,2,54,2.0,0.0,1.0,62.74,-864,0
285,6,3.5,371,3,64,3.0,0.0,1.0,79.73,-864,1
286,2,3.5,372,2,26,20.0,0.0,6.0,80.77,-616,0
287,7,3.0,96,3,26,9.0,0.0,5.0,68.68,-385,1
288,4,3.0,96,3,107,9.0,0.0,6.0,33.25,-433,0
289,2,3.0,96,3,59,6.0,0.0,5.0,90.67,-219,0
290,3,4.0,117,4,107,8.0,0.0,8.0,59.45,-864,0
291,4,4.0,44,3,607,21.0,0.0,11.0,74.96,-201,0
292,2,4.0,44,3,29,18.0,0.0,3.0,88.61,-125,0
293,3,3.0,74,3,107,3.0,0.0,4.0,54.04,-864,0
294,2,3.0,74,3,612,1.0,0.0,1.0,84.32,-161,0
295,3,3.0,74,3,88,3.0,0.0,0.0,47.38,-212,0
296,6,3.5,196,3,607,14.0,0.0,9.0,87.32,-864,1
297,9,3.5,196,3,64,17.0,0.0,6.0,52.05,-461,1
298,11,3.5,41,3,59,9.0,1.0,7.0,75.62,-864,1
