,inspec_id,permit_id,crit_viol,non_crit_viol,crit_viol_cos,crit_viol_rpt,non_crit_viol_cos,non_crit_viol_rpt,crit_viol_tbr,non_crit_viol_tbr,lat,lon,risk,insp_badge,yelp_rating,yelp_reviews,violation
1373,204897,6406,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,38.886555,-76.995818,3,422.0,3.5,145,1
1374,204897,6406,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,38.886555,-76.995818,3,422.0,3.5,145,1
1375,204935,3513,7.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,38.8969997,-77.031191,3,89.0,3.0,146,1
1376,405979,3513,6.0,4.0,4.0,0.0,0.0,0.0,2.0,4.0,38.8969997,-77.031191,3,603.0,3.0,146,1
1377,610377,3513,7.0,2.0,3.0,0.0,0.0,0.0,4.0,2.0,38.8969997,-77.031191,3,624.0,3.0,146,1
1378,824258,3513,6.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,38.8969997,-77.031191,3,88.0,3.0,146,1
1379,205014,4050,17.0,3.0,1.0,0.0,0.0,0.0,16.0,3.0,38.9014378,-77.0537073,3,87.0,4.0,68,1
1380,405855,4050,3.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,38.9014378,-77.0537073,3,29.0,4.0,68,0
1381,814094,4050,2.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,38.9014378,-77.0537073,3,607.0,4.0,68,0
1382,822519,4050,3.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,38.9014378,-77.0537073,3,64.0,4.0,68,0
1383,205065,3576,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.9644848,-77.0757843,3,612.0,3.0,64,0
1384,405464,3576,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,38.9644848,-77.0757843,3,54.0,3.0,64,0
1385,811127,3576,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.9644848,-77.0757843,3,612.0,3.0,64,0
1386,814057,3576,5.0,2.0,1.0,0.0,1.0,0.0,4.0,1.0,38.9644848,-77.0757843,3,624.0,3.0,64,1
1387,205097,6019,3.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,38.9537649,-77.0818067,3,612.0,3.5,134,0
1388,810500,6019,10.0,1.0,5.0,0.0,0.0,0.0,5.0,1.0,38.9537649,-77.0818067,3,54.0,3.5,134,1
1389,824398,6019,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,38.9537649,-77.0818067,3,611.0,3.5,134,0
1390,205124,147839,8.0,4.0,0.0,0.0,0.0,0.0,8.0,4.0,38.9102043,-77.038236,3,82.0,4.0,498,1
