OBJECTID,LICENSE,TRADE_NAME,APPLICANT,CLASS,ENDORSEMENTS,ADDRESS,ADDRID,X,Y,DESCRIPTIO,STATUS,TYPE
307,ABRA-016838,Capital City Brewing Company,"Capitol City Brewing Company, LLC",C,,1100 NEW YORK AVENUE NW,297684,397619.45,136979.92,Tavern,Active,Tavern
308,ABRA-026023,Capital Eagle Inc **Off-premise Storage Permit**,Capital Eagle Inc,A,,2815 V STREET NE,44423,402586.47,138977.98,Wholesaler,Active,Wholesaler
309,ABRA-097815,Capital Fringe,"Capital Fringe, Inc",C,,1358 FLORIDA AVENUE NE,149956,401206.18,137052.42,Multipurpose,Active,Multipurpose
310,ABRA-095309,Capital Fringe,"Capital Fringe, Inc",C,,607 NEW YORK AVENUE NW,279851,398235.44,137323.83,Multipurpose,Active,Multipurpose
311,ABRA-060206,Capital Grille,"Capital Grille Holdings, Inc.",C,,601 PENNSYLVANIA AVENUE NW,226088,398221.46,136161.65,Restaurant,Active,Restaurant
312,ABRA-088499,Capital Hilton Hotel (The),CHH Capital Tenant Corp.,C,,1001 16TH STREET NW,278775,396883.19,137252.47,Hotel,Active,Hotel
313,ABRA-001324,Capital Yacht Club,The Capitol Yacht Club,C,,1000 WATER STREET SW,277731,397687.66,134750.42,Club,Active,Club
314,ABRA-072225,Capitale,"Jasper Ventures, LLC",C,,1301 K STREET NW,240647,397352.63,137230.54,Nightclub,Active,Nightclub
315,ABRA-060423,Capitol City Wine & Spirits,J. S. & W. C. Incorporated,A,,500 K STREET NW,218245,398337.29,137157.51,Retail - Liquor Store,Active,Retail - Liquor Store
316,ABRA-082981,Capitol Fine Wine & Spirits,YOHANNES A. WOLDEMICHAEL,A,,415 H STREET NE,26048,400002.88,136905.29,Retail - Liquor Store,Active,Retail - Liquor Store
317,ABRA-088815,Capitol Food Mart,Zembab Incorporated,B,,1634 NORTH CAPITOL STREET NW,226794,399182.2,138252.24,Retail - Class B,Active,Retail - Class B
318,ABRA-000626,Capitol Hill Club,National Republican Club of Capitol Hill Inc.,C,,300 1ST STREET SE,42689,399520.32,135331.15,Club,Active,Club
319,ABRA-078727,Capitol Hill Market,"SMJ & Capitol Hill, Inc.",B,,241 MASSACHUSETTS AVENUE NE,150404,399803.66,136284.27,Retail - Grocery,Active,Retail - Grocery
320,ABRA-060689,Capitol Hill Tandor and Grill,"Shallamar Enterprises, LLC",C,,419 8TH STREET SE,25834,400408.73,135027.96,Restaurant,Active,Restaurant
321,ABRA-081749,Capitol Hill Wine & Spirits,"Hotmal Family, LLC",A,,323 PENNSYLVANIA AVENUE SE,278358,399887.92,135402.73,Retail - Liquor Store,Active,Retail - Liquor Store
66,ABRA-013738,Alero Restaurant,"Los Amigos of DC, Inc.",C,,3500 CONNECTICUT AVENUE NW,277550,394889.47,140873.67,Restaurant,Active,Restaurant
67,ABRA-071881,Alero Restaurant and Lounge,"Alero of U Street, Inc.",C,,1301 U STREET NW,297578,397341.04,138816.18,Restaurant,Active,Restaurant
68,ABRA-060134,Alero Restaurant-1,"Alero, Inc.",C,,1724 CONNECTICUT AVENUE NW,242589,396008.75,138393.57,Restaurant,Active,Restaurant
